epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.60322505235672,0.0930439680814743,0.5808703303337097,0.058788593858480453
1,0.5767706632614136,0.050048016011714935,0.5745482444763184,0.04279826581478119
2,0.5737923383712769,0.04286864772439003,0.5731005072593689,0.03911612555384636
3,0.5725376009941101,0.039400942623615265,0.5725049376487732,0.03733564540743828
4,0.5719110369682312,0.037462279200553894,0.5718618631362915,0.03527958691120148
5,0.5715570449829102,0.03628264740109444,0.5715028047561646,0.03399603068828583
6,0.571168839931488,0.03496340289711952,0.5713576078414917,0.03336577117443085
7,0.570910632610321,0.03404679521918297,0.5711989998817444,0.03277967870235443
8,0.570813775062561,0.033758874982595444,0.5711789727210999,0.03277256339788437
9,0.5705816745758057,0.03285365179181099,0.5712039470672607,0.03284156322479248
10,0.5704452991485596,0.0324108749628067,0.5718783736228943,0.03529726713895798
11,0.5701794028282166,0.03135902062058449,0.5720316767692566,0.03592897579073906
12,0.5702733993530273,0.031722892075777054,0.5712804198265076,0.03275434300303459
13,0.5702093243598938,0.031513310968875885,0.5708534717559814,0.03116384521126747
14,0.570123553276062,0.031150901690125465,0.5708203911781311,0.03096896968781948
15,0.5696956515312195,0.029384972527623177,0.5707969665527344,0.030847104266285896
16,0.5699517130851746,0.030443653464317322,0.5707847476005554,0.03141017258167267
17,0.5700952410697937,0.03096224181354046,0.5705265998840332,0.029868191108107567
18,0.5699753165245056,0.03044707328081131,0.5704917311668396,0.02964298613369465
19,0.5698498487472534,0.02989824116230011,0.5703942179679871,0.029137371107935905
20,0.5698229670524597,0.029834572225809097,0.5703893899917603,0.029135210439562798
21,0.5698362588882446,0.02990090101957321,0.5702260732650757,0.028561312705278397
22,0.5688416361808777,0.025852330029010773,0.569505512714386,0.02574610523879528
23,0.568035364151001,0.02249355986714363,0.569180965423584,0.024756263941526413
24,0.567987322807312,0.022425802424550056,0.5693641901016235,0.025713669136166573
25,0.5681599378585815,0.023352576419711113,0.569624125957489,0.0269292201846838
26,0.5682689547538757,0.024045392870903015,0.5694950819015503,0.027171872556209564
27,0.5682806968688965,0.0240927767008543,0.5696632862091064,0.027872035279870033
28,0.5682389140129089,0.02388041839003563,0.5712055563926697,0.03306559845805168
29,0.5683454871177673,0.024454498663544655,0.5716225504875183,0.03495482727885246
30,0.5682259798049927,0.02395315282046795,0.5705183148384094,0.030409829691052437
31,0.5681163668632507,0.023382587358355522,0.5693554878234863,0.025605814531445503
32,0.5680443644523621,0.023084046319127083,0.5693060755729675,0.025462500751018524
33,0.5681406855583191,0.02346806973218918,0.5693151950836182,0.025173868983983994
34,0.5679534673690796,0.022434916347265244,0.5693819522857666,0.025324277579784393
35,0.5677838325500488,0.0215312372893095,0.5700548887252808,0.028223060071468353
36,0.5678176283836365,0.021779527887701988,0.5690903067588806,0.024597281590104103
37,0.5680144429206848,0.022834153845906258,0.5697156190872192,0.027272965759038925
38,0.568108081817627,0.023277975618839264,0.5696929693222046,0.027245596051216125
39,0.5681425929069519,0.023381195962429047,0.5697660446166992,0.02695509046316147
40,0.5679947733879089,0.02264884114265442,0.5698743462562561,0.027678728103637695
41,0.5677326917648315,0.021192500367760658,0.569387674331665,0.025318866595625877
42,0.567563533782959,0.020284825935959816,0.5690752267837524,0.024001196026802063
43,0.5676634907722473,0.02080918848514557,0.5695662498474121,0.02645932324230671
44,0.567752480506897,0.02143358811736107,0.5700993537902832,0.028444916009902954
45,0.5678364038467407,0.021884553134441376,0.569651186466217,0.02597876265645027
46,0.5677803754806519,0.02158190682530403,0.5699846148490906,0.027439244091510773
47,0.5676273107528687,0.0206422358751297,0.5693638324737549,0.02535943128168583
48,0.5677556991577148,0.02141757868230343,0.5702070593833923,0.029103709384799004
49,0.567798376083374,0.021687714383006096,0.5697547197341919,0.026491500437259674